TimeStamp,XIronFeed,XSilicaFeed,StarchFlow,AminaFlow,OrePulpFlow,OrePulppH,OrePulpDensity,FlotationColumn01AirFlow,FlotationColumn02AirFlow,FlotationColumn03AirFlow,FlotationColumn04AirFlow,FlotationColumn05AirFlow,FlotationColumn06AirFlow,FlotationColumn07AirFlow,FlotationColumn01Level,FlotationColumn02Level,FlotationColumn03Level,FlotationColumn04Level,FlotationColumn05Level,FlotationColumn06Level,FlotationColumn07Level,XIronConcentrate,XSilicaConcentrate
10/03/2017 1:00,55.2,16.98,3175.190653,578.7866782,398.7533678,10.11348736,110.1630747,251.1666724,250.2260862,250.1782874,295.096,306.4,251.2325287,250.2081839,450.3837759,449.8038471,450.474523,449.9122586,455.7921609,464.3833103,450.5327471,66.91,1.31
10/03/2017 2:00,55.2,16.98,3212.067941,537.2196611,399.8718222,10.12974167,150.6913222,249.8805889,250.21405,250.0333167,295.096,306.4,249.9094944,249.8975722,449.3733611,450.2493556,450.0812222,450.3288056,448.7229833,455.5015278,451.3877,67.06,1.11
10/03/2017 3:00,55.2,16.98,3479.482944,591.9067444,398.7638056,10.04840333,131.3376333,250.1613278,250.1041667,250.04635,295.096,306.4,250.2421611,250.4841833,449.9728778,450.8687111,450.9018222,451.1458222,451.1341889,459.9813111,450.2967222,66.97,1.27
10/03/2017 4:00,55.2,16.98,3243.33824,593.1701056,399.8669833,9.918614,81.71013333,250.2087722,250.2047611,250.1208611,295.096,306.4,249.8251222,250.1576222,487.9407056,491.4621111,487.3872056,494.5281833,495.6640111,502.76385,494.9398889,66.75,1.36
10/03/2017 5:00,55.2,16.98,3343.126657,619.7108056,399.6150889,9.746029222,80.12932222,249.9178,250.1604944,250.0135,295.096,306.4,250.2496,250.0786389,549.0315389,549.9831556,549.4595722,549.9754833,549.5125333,560.6963,550.2717722,66.63,1.34
10/03/2017 6:00,55.2,16.98,3405.162222,621.8785389,399.7493444,9.892237111,60.73195556,249.8982944,250.1110222,250.0753833,295.096,306.4,249.9424944,250.1498778,550.5995667,549.9291389,549.0892444,549.6097,549.2207,561.0516444,551.0907667,66.85,1.15
10/03/2017 7:00,54.95,17.4,3184.553675,618.1863667,400.3451333,10.18042556,82.21563333,250.3506667,250.2765944,250.0668444,295.096,306.4,250.0500333,250.0627333,549.5399778,550.77905,550.9951833,550.4599722,549.7216889,569.6192778,550.5758167,65.76,2.76
10/03/2017 8:00,54.95,17.4,3393.255688,595.6809833,400.1287444,10.18020278,82.36954444,249.8060944,250.2368778,250.0090278,295.096,306.4,250.2005167,250.0518944,550.3123,550.0977,549.3166278,549.6357722,548.4477278,567.5989556,550.0110167,65.89,2.65
10/03/2017 9:00,54.95,17.4,3784.487111,592.3679833,400.2784667,9.940502833,7.660727778,250.0637889,249.9036889,250.0054444,295.096,306.4,250.1678167,250.0719722,549.8792389,549.2459611,550.3712,551.37,549.1485278,563.1761278,550.2172278,66.68,1.73
10/03/2017 10:00,54.95,17.4,3440.946727,582.9060944,399.7736667,10.10419728,27.26793889,250.0967667,250.0029778,250.0462389,295.096,306.4,250.1112333,249.9897778,550.1431278,549.3267944,549.1419056,548.1161732,546.7677722,556.4767167,549.2194222,66.52,1.81
